"dateid01","allords","ftse","nasdaq","nikkei"
1/1/2002,1.3125,-1.0082,-0.8393,-5.1678
2/1/2002,-1.3337,-1.2353,-10.4724,5.9016
3/1/2002,0.1399,3.3484,6.5758,4.1284
4/1/2002,-1.8969,-2.0145,-8.5144,4.2413
5/1/2002,0.7759,-1.5584,-4.2944,2.3594
6/1/2002,-4.869,-8.4305,-9.4397,-9.7066
7/1/2002,-4.1287,-8.8094,-9.2229,-7.0035
8/1/2002,1.3553,-0.4451,-1.0096,-2.6184
9/1/2002,-4.7305,-11.958,-10.8598,-2.4535
10/1/2002,2.2778,8.5416,13.4541,-7.9163
11/1/2002,1.0083,3.2106,11.2074,6.6556
12/1/2002,-1.6429,-5.4924,-9.6884,-6.908
1/1/2003,-1.3477,-9.466,-1.0932,-2.786
2/1/2003,-5.3485,2.4724,1.2575,0.277
3/1/2003,2.5266,-1.1571,0.2729,-4.6673
4/1/2003,4.2933,8.6541,9.1815,-1.7722
5/1/2003,0.2996,3.11,8.9872,7.5732
6/1/2003,0.641,-0.4175,1.6849,7.8177
7/1/2003,3.5947,3.1207,6.9152,5.2856
8/1/2003,3.0965,0.0986,4.3475,8.1598
9/1/2003,-0.8336,-1.6774,-1.2986,-1.2036
10/1/2003,3.3436,4.798,8.1295,3.3324
11/1/2003,-2.6414,1.2828,1.4517,-4.3469
12/1/2003,3.4515,3.0926,2.1992,5.7033
1/1/2004,-0.6776,-1.9254,3.1337,1.0019
2/1/2004,2.7074,2.3117,-1.7583,2.3954
3/1/2004,1.3017,-2.3708,-1.7538,6.0992
4/1/2004,-0.2547,2.3713,-3.7142,0.3961
5/1/2004,1.4438,-1.3141,3.468,-4.4672
6/1/2004,2.1233,0.7538,3.0729,5.54
7/1/2004,0.4476,-1.1424,-7.8343,-4.4953
8/1/2004,0.4456,1.0469,-2.61,-2.1543
9/1/2004,3.1669,2.5004,3.1957,-2.3301
10/1/2004,3.037,1.1683,4.12,-0.4818
11/1/2004,4.1333,1.7084,6.1681,1.1868
12/1/2004,2.7975,2.3622,3.75,5.4087
1/1/2005,1.3224,0.7893,-5.1957,-0.8806
2/1/2005,1.2126,2.3947,-0.5183,3.1
3/1/2005,-1.3449,-1.4914,-2.5583,-0.6103
4/1/2005,-3.8409,-1.894,-3.8805,-5.6565
5/1/2005,3.2284,3.38,7.6273,2.4316
6/1/2005,3.9185,3.0056,-0.5444,2.7262
7/1/2005,2.7613,3.3071,6.2165,2.7244
8/1/2005,1.5368,0.2764,-1.4985,4.3195
9/1/2005,4.058,3.4133,-0.0186,9.3502
10/1/2005,-3.9172,-2.9282,-1.4588,0.2372
11/1/2005,3.8729,1.9916,5.3068,9.3018
12/1/2005,2.7315,3.6067,-1.2316,8.3329
1/1/2006,3.64,2.5183,4.5572,3.3417
2/1/2006,-0.0369,0.5416,-1.0595,-2.669
